country,year,hourly_compensation
Austria,2006,30.45999908
Belgium,2006,31.85000038
Brazil,2006,4.909999847
Canada,2006,25.73999977
Czech Rep.,2006,6.769999981
Denmark,2006,35.45000076
Finland,2006,29.89999962
France,2006,24.89999962
Germany,2006,34.20999908
Greece,2006,16.10000038
"Hong Kong, China",2006,5.78000021
Hungary,2006,6.289999962
Ireland,2006,25.95999908
Israel,2006,12.97999954
Italy,2006,25.06999969
Japan,2006,20.20000076
"Korea, Rep.",2006,14.72000027
Luxembourg,2006,27.73999977
Mexico,2006,2.75
Netherlands,2006,32.34000015
New Zealand,2006,14.47000027
Norway,2006,41.04999924
Philippines,2006,1.070000052
Poland,2006,4.989999771
Portugal,2006,7.650000095
Singapore,2006,8.550000191
Spain,2006,18.82999992
Sweden,2006,31.79999924
Switzerland,2006,30.67000008
Taiwan,2006,6.429999828
United Kingdom,2006,27.10000038
United States,2006,23.81999969
